title,query
"Hawthorn, Kew: ‘It aims to fill and soothe’ – restaurant review | Grace Dent on restaurants","14 Station Parade, Richmond TW9 3PZ, UK"
"Benoli, Norwich: ‘If this place was closer to my house, I would eat here a lot’ – restaurant review | Grace Dent on restaurants","5 Orford Street, Norwich, UK"
"Madre, Liverpool: ‘It made me feel at home’ – restaurant review | Grace Dent on restaurants","Atlantic Pavilion, Albert Dock, Liverpool, UK"
"Muse, SW1: ‘the sort of pretentious I live for’ – restaurant review | Grace Dent","38 Groom Place, London SW1, UK"
"Sabai Sabai, Birmingham: ‘It's for fans of M People’ – restaurant review | Grace Dent","7 Waterloo Street, Birmingham, UK"
"Nonya , Glasgow: 'The joy ebbed from my soul with each new dish' – restaurant review | Grace Dent","10 Claremont Street, Glasgow, UK"
Bodean’s restaurant review | Grace Dent,"10 Poland Street, London W1, UK"
"Red Farm, WC2 – ‘big, daft, delicious fun’ - restaurant review | Grace Dent","9 Russell Street, London WC2, UK"
"Gazelle, W1 – Six dishes are not enough – restaurant review | Grace Dent","48 Albemarle Street, London W1S 4DH, UK"
Belzan restaurant review | Grace Dent,"371 Smithdown Road, Liverpool, UK"
"Bright, London E8: ‘Future-facing, lovingly sourced and whip-smart’ - restaurant review | Grace Dent","1 Westgate Street, London E8, UK"
"Khai Khai, Newcastle: ‘Broccoli should not be this delicious' - restaurant review | Grace Dent on restaurants","29 Queen Street, Newcastle upon Tyne, UK"
"Cah Chi, New Malden: ‘An umami-drenched patch of extreme deliciousness’ – restaurant review | Grace Dent on restaurants","79-81 Kingston Road, New Malden, UK"
"Noah’s, Bristol: ‘One of the nicest restaurants I’ve come across in years’ – restaurant review | Grace Dent on restaurants","1 Brunel Lock Road, Bristol, UK"
"Dongnae, Bristol: ‘A handpicked flurry of Korean loveliness’ – restaurant review | Grace Dent on restaurants","5-7 Chandos Road, Redland, Bristol, UK"
"Le Pont Bistrot, London SE1: ‘It looks like all of 7p has been spent on this refurbishment’ – restaurant review | Grace Dent on restaurants","36D Shad Thames, London SE1, UK"
"Nama, Liverpool: ‘I was offered an edible balloon before the sashimi’ – restaurant review | Grace Dent on restaurants","GPO Metquarter, 35 Whitechapel, Liverpool L1, UK"
'Damn fine': Grace Dent reviews Alain Ducasse’s £15 cup of coffee,"Alain Ducasse Le Cafe, Coal Drops Yard, London N1C, UK"
Roots: York has a new star attraction – restaurant review | Grace Dent,"68 Marygate, York, UK"
Bryn Williams at Somerset House: ‘from the pleasant to the peculiar’ – restaurant review | Grace Dent,"Somerset House, Strand, London WC2, UK"
Galleria: ‘Leeds in full weird-and-wonderful mode’ – restaurant review | Grace Dent on restaurants,"Project House, Armley Road, Leeds LS12, UK"
"Lapin, Bristol: ‘We’re not in Cafe Rouge now’ – restaurant review | Grace Dent on restaurants","Museum Street, Wapping Wharf, Bristol BS1, UK"
"Where should we begin? At Rules, of course. Jay Rayner’s first FT restaurant review","Rules restaurant, 35 Maiden Lane, London WC2, UK"
‘Fluent Korean cooking with a French twang’ — Jay Rayner reviews Calong,"Calong, 35 Stoke Newington Church Street, London N16, UK"
"‘A reliable, old-school Italian’ — Jay Rayner reviews Da Mario, Kensington","Da Mario, 15 Gloucester Road, London SW7, UK"
"Your Greek island holiday, in sunny South Ken – Jay Rayner reviews Myrtos","Myrtos restaurant, South Kensington, London, UK"
"‘I doubt I will eat better than I did here’ — Jay Rayner reviews Mezzogiorno, Westminster","Mezzogiorno restaurant, Westminster, London, UK"
